a,K,t,y
20,11.263580930492251,9.444292860391085,0.9418429702441414
20,11.263580930492251,9.524329240563892,0.9464425097286471
20,11.263580930492251,9.604365620736697,0.9510385194367942
20,11.263580930492251,9.684402000909504,0.955614476755675
20,11.263580930492251,9.764438381082309,0.9601546425017998
20,11.263580930492251,9.844474761255116,0.9646440843259867
20,11.263580930492251,9.92451114142792,0.9690686961843396
20,11.263580930492251,10.004547521600728,0.9734152139738692
20,11.263580930492251,10.084583901773533,0.9776712274410078
20,11.263580930492251,10.16462028194634,0.9818251884801219
20,11.263580930492251,10.244656662119144,0.9858664159471893
20,11.263580930492251,10.32469304229195,0.9897850971210708
20,11.263580930492251,10.404729422464756,0.9935722859512698
20,11.263580930492251,10.484765802637561,0.997219898236755
20,11.263580930492251,10.564802182810368,1.0007207038853467
20,11.263580930492251,10.644838562983173,1.0040683164073145
20,11.263580930492251,10.72487494315598,1.007257179800271
20,11.263580930492251,10.804911323328785,1.0102825529851545
20,11.263580930492251,10.884947703501592,1.0131404919550915
20,11.263580930492251,10.964984083674397,1.0158278298002867
20,11.263580930492251,11.045020463847203,1.0183421547727654
20,11.263580930492251,11.125056844020008,1.020681786554856
20,11.263580930492251,11.205093224192813,1.022845750894783
20,11.263580930492251,11.28512960436562,1.0248337527716171
20,11.263580930492251,11.365165984538425,1.026646148250204
20,11.263580930492251,11.445202364711232,1.0282839151845267
20,11.263580930492251,11.525238744884037,1.0297486229253225
20,11.263580930492251,11.605275125056844,1.0310424011846884
20,11.263580930492251,11.685311505229649,1.0321679082068884
20,11.263580930492251,11.765347885402456,1.0331282983906915
20,11.263580930492251,11.84538426557526,1.0339271895042879
20,11.263580930492251,11.925420645748067,1.0345686296292609
20,11.263580930492251,12.005457025920872,1.035057063965192
20,11.263580930492251,12.085493406093677,1.0353973016213303
20,11.263580930492251,12.165529786266484,1.0355944825163599
20,11.263580930492251,12.24556616643929,1.0356540445017075
20,11.263580930492251,12.325602546612096,1.0355816908180517
20,11.263580930492251,12.405638926784901,1.0353833579887683
20,11.263580930492251,12.485675306957708,1.0350651842480048
20,11.263580930492251,12.565711687130513,1.0346334785949307
20,11.263580930492251,12.64574806730332,1.0340946905595014
20,11.263580930492251,12.725784447476125,1.0334553807588238
20,11.263580930492251,12.80582082764893,1.0327221923169376
20,11.263580930492251,12.885857207821736,1.0319018232145671
20,11.263580930492251,12.965893587994541,1.0310009996291587
20,11.263580930492251,13.045929968167348,1.03002645031933
20,11.263580930492251,13.125966348340153,1.0289848821017429
20,11.263580930492251,13.20600272851296,1.0278829564623857
20,11.263580930492251,13.286039108685765,1.0267272673383216
20,11.263580930492251,13.366075488858572,1.0255243201001683
20,11.263580930492251,13.446111869031377,1.0242805117599174
20,11.263580930492251,13.526148249204184,1.0230021124231898
20,11.263580930492251,13.606184629376989,1.0216952479996977
20,11.263580930492251,13.686221009549794,1.0203658841805168
20,11.263580930492251,13.7662573897226,1.019019811685816
20,11.263580930492251,13.846293769895405,1.0176626327819163
20,11.263580930492251,13.926330150068212,1.016299749061999
20,11.263580930492251,14.006366530241017,1.0149363504804454
20,11.263580930492251,14.086402910413824,1.0135774056266669
20,11.263580930492251,14.166439290586629,1.0122276532203993
20,11.263580930492251,14.246475670759436,1.0108915948067778
20,11.263580930492251,14.32651205093224,1.0095734886260928
20,11.263580930492251,14.406548431105048,1.008277344629936
20,11.263580930492251,14.486584811277853,1.0070069206125152
20,11.263580930492251,14.566621191450658,1.0057657194232006
20,11.263580930492251,14.646657571623464,1.004556987223916
20,11.263580930492251,14.72669395179627,1.0033837127527505
20,11.263580930492251,14.806730331969076,1.0022486275531837
20,11.263580930492251,14.886766712141881,1.001154207126562
20,11.263580930492251,14.966803092314688,1.0001026729639284
20,11.263580930492251,15.046839472487493,0.999095995412017
20,11.263580930492251,15.1268758526603,0.9981358973271296
20,11.263580930492251,15.206912232833105,0.9972238584697507
20,11.263580930492251,15.286948613005912,0.9963611205920997
20,11.263580930492251,15.366984993178717,0.9955486931703513
20,11.263580930492251,15.447021373351522,0.9947873597330056
20,11.263580930492251,15.527057753524328,0.9940776847367994
20,11.263580930492251,15.607094133697133,0.9934200209416683
20,11.263580930492251,15.68713051386994,0.9928145172365308
20,11.263580930492251,15.767166894042745,0.9922611268681206
20,11.263580930492251,15.847203274215552,0.9917596160256646
20,11.263580930492251,15.927239654388357,0.9913095727349664
20,11.263580930492251,16.007276034561162,0.9909104160163121
20,11.263580930492251,16.08731241473397,0.9905614052616292
20,11.263580930492251,16.167348794906776,0.9902616497874447
20,11.263580930492251,16.24738517507958,0.9900101185214256
20,11.263580930492251,16.327421555252386,0.9898056497816098
20,11.263580930492251,16.407457935425192,0.9896469611088626
20,11.263580930492251,16.487494315598,0.9895326591146013
20,11.263580930492251,16.567530695770802,0.9894612493073924
20,11.263580930492251,16.64756707594361,0.9894311458636925
20,11.263580930492251,16.727603456116416,0.9894406813096762
20,11.263580930492251,16.807639836289223,0.9894881160828564
20,11.263580930492251,16.887676216462026,0.9895716479439719
20,11.263580930492251,16.967712596634833,0.9896894212114424
20,11.263580930492251,17.04774897680764,0.9898395357925149
20,11.263580930492251,17.127785356980443,0.9900200559870811
20,11.263580930492251,17.20782173715325,0.9902290190420091
20,11.263580930492251,17.287858117326056,0.9904644434356774
20,11.263580930492251,17.367894497498863,0.9907243368742644
20,11.263580930492251,17.447930877671666,0.9910067039831789
20,11.263580930492251,17.527967257844473,0.9913095536788405
20,11.263580930492251,17.60800363801728,0.991630906207813
20,11.263580930492251,17.688040018190087,0.9919687998420622
20,11.263580930492251,17.76807639836289,0.9923212972208351
20,11.263580930492251,17.848112778535697,0.992686491331356
20,11.263580930492251,17.928149158708504,0.9930625111221728
20,11.263580930492251,18.008185538881307,0.993447526744594
20,11.263580930492251,18.088221919054114,0.9938397544191895
20,11.263580930492251,18.16825829922692,0.9942374609258334
20,11.263580930492251,18.248294679399727,0.9946389677171881
20,11.263580930492251,18.32833105957253,0.9950426546569019
20,11.263580930492251,18.408367439745337,0.9954469633851015
20,11.263580930492251,18.488403819918144,0.9958504003150012
20,11.263580930492251,18.56844020009095,0.9962515392656182
20,11.263580930492251,18.648476580263754,0.9966490237367024
20,11.263580930492251,18.72851296043656,0.9970415688330106
20,11.263580930492251,18.808549340609368,0.9974279628460273
20,11.263580930492251,18.88858572078217,0.9978070685021296
20,11.263580930492251,18.968622100954978,0.9981778238870138
20,11.263580930492251,19.048658481127784,0.9985392430569546
20,11.263580930492251,19.12869486130059,0.998890416348148
20,11.263580930492251,19.208731241473394,0.9992305103960057
20,11.263580930492251,19.2887676216462,0.9995587678768016
20,11.263580930492251,19.368804001819008,0.999874506984554
20,11.263580930492251,19.448840381991815,1.0001771206564276
20,11.263580930492251,19.528876762164618,1.0004660755602839
20,11.263580930492251,19.608913142337425,1.0007409108582814
20,11.263580930492251,19.68894952251023,1.0010012367606456
20,11.263580930492251,19.768985902683035,1.0012467328838823
20,11.263580930492251,19.84902228285584,1.0014771464277983
20,11.263580930492251,19.92905866302865,1.0016922901857406
20,11.263580930492251,20.009095043201455,1.0018920404024447
20,11.263580930492251,20.08913142337426,1.0020763344938197
20,11.263580930492251,20.169167803547065,1.0022451686428793
20,11.263580930492251,20.249204183719872,1.0023985952858696
20,11.263580930492251,20.32924056389268,1.002536720502438
20,11.263580930492251,20.409276944065482,1.0026597013234366
20,11.263580930492251,20.48931332423829,1.0027677429696715
20,11.263580930492251,20.569349704411096,1.0028610960345872
20,11.263580930492251,20.6493860845839,1.0029400536235145
20,11.263580930492251,20.729422464756706,1.003004948461738
