a,K,zeta,wn,s3_real_pole,PO_formula,PO_actual,PO_abs_err,Ts_formula,Ts_actual,Ts_abs_err
34,20000,0.11676329046242032,141.30444802073436,-1.0016553842460334,69.11840569376584,69.39479625267711,0.27639055891127384,0.18182730285007995,0.18032399978091285,0.0015033030691671
35,20000,0.12030459400717541,141.30089778267023,-1.0017057188129381,68.33738955143028,68.62053738643881,0.2831478350085348,0.1764794418912979,0.16249577034146506,0.013983671549832849
36,20000,0.12384607586519762,141.29734709797108,-1.0017560635070308,67.56416350411094,67.85385374567812,0.28969024156718604,0.17143717298752087,0.16207359092480447,0.009363582062716397
37,20000,0.12738773608362863,141.29379596649508,-1.0018064183321345,66.79863157529434,67.09469136678578,0.29605979149144446,0.16667503013416493,0.16137181639932094,0.005303213734843992
38,20000,0.13092957470963215,141.29024438810052,-1.001856783292074,66.04069938286976,66.3428886898042,0.30218930693443724,0.16217030040822325,0.16052492779964792,0.001645372608575335
39,20000,0.13447159179039425,141.28669236264525,-1.0019071583906738,65.29027410831227,65.59872915123279,0.30845504292051373,0.1579026617206899,0.1591152506924691,0.0012125889717791993
40,20000,0.13801378737312375,141.28313988998812,-1.0019575436317645,64.54726446657783,64.86346439431784,0.3161999277400156,0.15385387629937877,0.1402896852911297,0.013564191008249071
41,20000,0.14155616150505135,141.27958696998678,-1.0020079390191774,63.81158067669263,64.13527365599978,0.3236929793071539,0.15000753014932405,0.13987016839236774,0.010137361756956315
42,20000,0.14509871423343093,141.27603360249927,-1.0020583445567444,63.08313443301766,63.414127448024836,0.3309930150071736,0.1463488106409212,0.13916443446536272,0.007184376175558477
43,20000,0.148641445605538,141.27247978738347,-1.002108760248301,62.361838877172296,62.6998808212331,0.3380419440608051,0.14286431587119564,0.13846170076102143,0.004402615110174202
44,20000,0.1521843556686714,141.26892552449732,-1.0021591860976853,61.64760857059841,61.99247715539313,0.3448685847947246,0.1395418906258206,0.1373311722423425,0.002210718383478083
45,20000,0.15572744447015174,141.26537081369858,-1.0022096221087362,60.94035946775037,61.29180352797974,0.3514440602293689,0.13637048470995436,0.11977725069989908,0.016593234010055274
46,20000,0.15927071205732252,141.26181565484478,-1.0022600682852962,60.24000888989322,60.597779035559405,0.35777014566618703,0.13334003016829651,0.11949850942440672,0.013841520743889793
47,20000,0.16281415847754957,141.25826004779367,-1.002310524631208,59.54647549949481,59.910305539707196,0.36383004021238463,0.1304413345199204,0.11921714442781861,0.011224190092101793
48,20000,0.16635778377822166,141.2547039924029,-1.0023609911503195,58.85967927519617,59.229321191645276,0.3696419164491047,0.12766598762270143,0.118796774149306,0.008869213473395421
49,20000,0.16990158800674932,141.25114748852988,-1.0024114678464773,58.17954148734577,58.55470008781434,0.3751586004685663,0.1250062801796928,0.11851538313229497,0.006490897047397845
50,20000,0.17344557121056653,141.24759053603182,-1.0024619547235323,57.505984674083166,57.88641356247963,0.38042888839646594,0.12245513222431013,0.11809496452637332,0.004360167697936818
2,30000,0.0028867032298171376,173.20219398148836,-1.0000333344444443,99.09721148478995,99.10366583723658,0.006454352446624512,6.000200013334012,5.986014576354668,0.014185436979343713
3,30000,0.0057735026822720486,173.1993069655047,-1.0000666733340002,98.20252128870334,98.2154983937532,0.012977105049856164,3.0001000133351075,2.9932868531816523,0.006813160153455122
4,30000,0.008660398374205841,173.19641970888625,-1.0001000166697784,97.3158351622209,97.3352603319499,0.01942516972899,2.000066680002889,1.9956960653677187,0.0043706146351703
5,30000,0.011547390322464969,173.19353221158235,-1.0001333644528916,96.4370602823199,96.46287766876492,0.025817386445012858,1.5000500133373371,1.4886605426992112,0.011389470638125898
6,30000,0.014434478543901199,173.19064447354262,-1.000166716684451,95.56610522677246,95.59825384120653,0.032148614434063916,1.200040013338448,1.1975578281160244,0.002482185222423494
7,30000,0.01732166305537154,173.18775649471647,-1.0002000733655712,94.70287994898818,94.74129888540033,0.03841893641214256,1.0000333466728923,0.9982542414038931,0.0017791052689992704
8,30000,0.020208943873738346,173.18486827505308,-1.0002334344973638,93.84729575338797,93.8919240089145,0.04462825552653271,0.8571714419121,0.8536837845543829,0.0034876573577171666
9,30000,0.023096321015869236,173.18197981450209,-1.0002668000809432,92.99926527129627,93.05002944310804,0.05076417181177817,0.750025013341784,0.7451271401622903,0.004897873179493639
10,30000,0.025983794498637178,173.1790911130128,-1.0003001701174226,92.15870243733936,92.21555197009495,0.056849532755592236,0.6666889022317853,0.6550597467163999,0.011629155515385459
11,30000,0.02887136433892044,173.17620217053437,-1.000333544607918,91.32552246633762,91.38839495150025,0.06287248516262878,0.6000200133440092,0.5994054890421046,0.0006145243019046731
12,30000,0.031759030553602546,173.17331298701617,-1.0003669235535426,90.49964183067993,90.56847412426612,0.06883229358618337,0.5454727406178503,0.5289656889095469,0.016507051708303466
13,30000,0.03464679315957244,173.170423562408,-1.0004003069554124,89.68097823816889,89.75570631801253,0.07472807984363783,0.5000166800129021,0.4920172059128161,0.007999474100086001
14,30000,0.03753465217372423,173.16753389665828,-1.0004336948146426,88.86945061032561,88.94999099461765,0.08054038429203558,0.4615538595011964,0.45563664453644304,0.005917214964753337
15,30000,0.04042260761295755,173.16464398971704,-1.0004670871323507,88.06497906114328,88.15128248866573,0.08630342752245213,0.42858572763417796,0.4198408748501294,0.008744852784048573
