a,K,pole_real,pole_imag,zeta_exact,zeta_approx,abs_error,pct_error_%
15,50000,-6.999859924349731,223.46587730378673,0.03130870991428936,0.03130495168499706,3.758229292299964e-06,0.012003782022921043
16,50000,-7.499849912937788,223.44741674258788,0.033545382047403934,0.03354101966249685,4.362384907086181e-06,0.013004427557037719
17,50000,-7.999839900724088,223.4278356845605,0.0357820989670322,0.03577708763999664,5.011327035564506e-06,0.01400512317676413
18,50000,-8.499829887708522,223.40713383507355,0.03801886067788263,0.03801315561749643,5.7050603861977245e-06,0.015005868888429443
19,50000,-8.999819873890967,223.38531088251892,0.040255667184664605,0.04024922359499621,6.443589668392313e-06,0.016006664698497406
20,50000,-9.499809859271279,223.3623664982892,0.04249251849208828,0.042485291572496,7.226919592276393e-06,0.017007510613008217
21,50000,-9.999799843849354,223.33830033675238,0.04472941460486483,0.044721359549995794,8.055054869032796e-06,0.01800840663842875
22,50000,-10.499789827625078,223.31311203522606,0.046966355527706206,0.046957427527495585,8.928000210621512e-06,0.019009352780959853
23,50000,-10.999779810598328,223.28680121394854,0.049203341265325495,0.049193495504995376,9.84576033011969e-06,0.020010349047287525
24,50000,-11.499769792768982,223.25936747605277,0.05144037182243629,0.051429563482495166,1.08083399411249e-05,0.02101139544331739
25,50000,-11.999759774136905,223.23081040753343,0.05367744720375337,0.05366563145999495,1.181574375842126e-05,0.022012491975577874
26,50000,-12.499749754702005,223.20112957721793,0.05591456741399236,0.05590169943749474,1.2867976497618616e-05,0.023013638650450266
27,50000,-12.999739734464134,223.17032453673224,0.05815173245786962,0.05813776741499453,1.3965042875090095e-05,0.024014835474089506
28,50000,-13.499729713423163,223.13839482046717,0.060388942340102544,0.06037383539249432,1.5106947608221899e-05,0.02501608245287948
29,50000,-13.999719691579031,223.10533994554416,0.06262619706540948,0.06260990336999411,1.629369541536474e-05,0.026017379593314453
30,50000,-14.499709668931558,223.0711594117762,0.06486349663850947,0.0648459713474939,1.7525291015577094e-05,0.027018726901584154
31,50000,-14.999699645480645,223.03585270163202,0.06710084106412262,0.0670820393249937,1.8801739128923578e-05,0.028020124384068958
32,50000,-15.499689621226146,222.9994192801958,0.06933823034696969,0.06931810730249348,2.012304447621127e-05,0.02902157204692882
33,50000,-15.999679596167983,222.9618585951261,0.07157566449177272,0.07155417527999328,2.1489211779440742e-05,0.03002306989676753
34,50000,-16.499669570306025,222.92317007661433,0.07381314350325431,0.07379024325749306,2.2900245761250937e-05,0.031024617939813523
35,50000,-16.99965954364012,222.88335313733998,0.07605066738613814,0.07602631123499286,2.4356151145280003e-05,0.03202621618244922
36,50000,-17.49964951617017,222.84240717242784,0.07828823614514857,0.07826237921249264,2.5856932655929366e-05,0.0330278646308877
37,50000,-17.999639487896047,222.80033155939947,0.0805258497850111,0.08049844718999243,2.740259501866904e-05,0.034029563291575096
38,50000,-18.499629458817658,222.75712565812697,0.08276350831045198,0.08273451516749222,2.8993142959760076e-05,0.03503131217082373
39,50000,-18.999619428934846,222.7127888107824,0.08500121172619846,0.084970583144992,3.0628581206448846e-05,0.03603311127505813
40,50000,-19.499609398247514,222.66732034178904,0.08723896003697855,0.0872066511224918,3.2308914486745e-05,0.03703496061054603
41,50000,-19.99959936675552,222.62071955776776,0.08947675324752119,0.08944271909999159,3.403414752960188e-05,0.03803686018361952
42,50000,-20.49958933445876,222.57298574748432,0.09171459136255634,0.09167878707749137,3.580428506497202e-05,0.039038810000727515
43,50000,-20.99957930135708,222.52411818179448,0.09395247438681462,0.09391485505499117,3.7619331823446345e-05,0.04004081006803784
44,50000,-21.499569267450404,222.4741161135876,0.09619040232502779,0.09615092303249095,3.947929253683702e-05,0.04104286039207562
