Step_Number,K_Element_Name,K_Value,Change_from_Nominal,Change_Percent,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Max_Magnitude,Stable
53,K11,0.101990552763819,-0.0931644472361809,-47.7386934673367,1.08069067664303+0i,-0.235687015959702+0.749741534461327i,-0.235687015959702-0.749741534461327i,1.08069067664303,NO
54,K11,0.103951909547739,-0.0912030904522613,-46.7336683417085,1.07532698478161+0i,-0.233103237868188+0.743470929943893i,-0.233103237868188-0.743470929943893i,1.07532698478161,NO
55,K11,0.105913266331658,-0.0892417336683417,-45.7286432160804,1.06988598173187+0i,-0.230480804182515+0.737107335468968i,-0.230480804182515-0.737107335468968i,1.06988598173187,NO
56,K11,0.107874623115578,-0.0872803768844221,-44.7236180904523,1.06436488465452+0i,-0.227818323483038+0.730647140366514i,-0.227818323483038-0.730647140366514i,1.06436488465452,NO
57,K11,0.109835979899497,-0.0853190201005025,-43.7185929648241,1.05876074689539+0i,-0.22511432244267+0.724086504547022i,-0.22511432244267-0.724086504547022i,1.05876074689539,NO
58,K11,0.111797336683417,-0.0833576633165829,-42.713567839196,1.0530704444064+0i,-0.222367239037371+0.717421338009138i,-0.222367239037371-0.717421338009138i,1.0530704444064,NO
59,K11,0.113758693467337,-0.0813963065326633,-41.7085427135678,1.04729066069907+0i,-0.219575415022904+0.710647277963642i,-0.219575415022904-0.710647277963642i,1.04729066069907,NO
60,K11,0.115720050251256,-0.0794349497487437,-40.7035175879397,1.04141787013286+0i,-0.216737087578995+0.703759663229072i,-0.216737087578995-0.703759663229072i,1.04141787013286,NO
61,K11,0.117681407035176,-0.0774735929648241,-39.6984924623116,1.03544831930851+0i,-0.213850380006012+0.696753505493933i,-0.213850380006012-0.696753505493933i,1.03544831930851,NO
62,K11,0.119642763819095,-0.0755122361809045,-38.6934673366834,1.02937800629852+0i,-0.210913291340217+0.689623456967783i,-0.210913291340217-0.689623456967783i,1.02937800629852,NO
63,K11,0.121604120603015,-0.0735508793969849,-37.6884422110553,1.02320265740202+0i,-0.20792368473116+0.68236377385647i,-0.20792368473116-0.68236377385647i,1.02320265740202,NO
64,K11,0.123565477386935,-0.0715895226130653,-36.6834170854271,1.0169177010548+0i,-0.204879274396752+0.674968274988616i,-0.204879274396752-0.674968274988616i,1.0169177010548,NO
65,K11,0.125526834170854,-0.0696281658291457,-35.678391959799,1.01051823846034+0i,-0.201777610938715+0.667430294790574i,-0.201777610938715-0.667430294790574i,1.01051823846034,NO
66,K11,0.127488190954774,-0.0676668090452261,-34.6733668341708,1.00399901042662+0i,-0.198616064761048+0.659742629645422i,-0.198616064761048-0.659742629645422i,1.00399901042662,NO
67,K11,0.129449547738693,-0.0657054522613065,-33.6683417085427,0.997354359795209+0i,-0.195391807284539+0.651897476472606i,-0.195391807284539-0.651897476472606i,0.997354359795209,YES
68,K11,0.131410904522613,-0.0637440954773869,-32.6633165829146,0.990578188730007+0i,-0.192101789591134+0.64388636211647i,-0.192101789591134-0.64388636211647i,0.990578188730007,YES
69,K11,0.133372261306533,-0.0617827386934673,-31.6582914572864,0.983663909983598+0i,-0.188742718057126+0.635700061821349i,-0.188742718057126-0.635700061821349i,0.983663909983598,YES
70,K11,0.135333618090452,-0.0598213819095477,-30.6532663316583,0.97660439107622+0i,-0.18531102644263+0.627328504677519i,-0.18531102644263-0.627328504677519i,0.97660439107622,YES
71,K11,0.137294974874372,-0.0578600251256282,-29.6482412060301,0.969391890093902+0i,-0.18180284379067+0.618760663425846i,-0.18180284379067-0.618760663425846i,0.969391890093902,YES
72,K11,0.139256331658291,-0.0558986683417085,-28.643216080402,0.962017981523033+0i,-0.178213957344428+0.609984425367373i,-0.178213957344428-0.609984425367373i,0.962017981523033,YES
73,K11,0.141217688442211,-0.0539373115577889,-27.6381909547739,0.954473470176328+0i,-0.174539769510279+0.600986440302077i,-0.174539769510279-0.600986440302077i,0.954473470176328,YES
74,K11,0.143179045226131,-0.0519759547738693,-26.6331658291457,0.946748290800516+0i,-0.170775247661563+0.59175194034497i,-0.170775247661563-0.59175194034497i,0.946748290800516,YES
75,K11,0.14514040201005,-0.0500145979899498,-25.6281407035176,0.938831390360319+0i,-0.166914865280661+0.582264525054524i,-0.166914865280661-0.582264525054524i,0.938831390360319,YES
76,K11,0.14710175879397,-0.0480532412060301,-24.6231155778894,0.930710589221426+0i,-0.16295253255041+0.572505903430938i,-0.16295253255041-0.572505903430938i,0.930710589221426,YES
77,K11,0.149063115577889,-0.0460918844221106,-23.6180904522613,0.922372416446361+0i,-0.158881514002074+0.562455581818681i,-0.158881514002074-0.562455581818681i,0.922372416446361,YES
