Step_Number,K_Element_Name,K_Value,Change_from_Nominal,Change_Percent,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Max_Magnitude,Stable
136,K12,-0.656998190954774,-0.172766190954774,35.678391959799,0.698653689824514+1.38545236902828i,0.698653689824514-1.38545236902828i,-0.797307179649024+0i,1.55164275693585,NO
137,K12,-0.661864844221105,-0.177632844221105,36.6834170854271,0.701497585861811+1.4016882191883i,0.701497585861811-1.4016882191883i,-0.80299497172362+0i,1.5674274231304,NO
138,K12,-0.666731497487437,-0.182499497487437,37.6884422110553,0.70427025538394+1.41767925412464i,0.70427025538394-1.41767925412464i,-0.808540310767876+0i,1.58297538205556,NO
139,K12,-0.671598150753769,-0.187366150753769,38.6934673366834,0.706975014491932+1.43343594569473i,0.706975014491932-1.43343594569473i,-0.81394982898386+0i,1.59829668132221,NO
140,K12,-0.676464804020101,-0.192232804020101,39.6984924623116,0.709614949216539+1.44896805421835i,0.709614949216539-1.44896805421835i,-0.81922969843308+0i,1.61340069365825,NO
141,K12,-0.681331457286432,-0.197099457286432,40.7035175879397,0.712192936639557+1.46428469366563i,0.712192936639557-1.46428469366563i,-0.824385673279115+0i,1.62829617794268,NO
142,K12,-0.686198110552764,-0.201966110552764,41.7085427135678,0.714711663620225+1.47939438941062i,0.714711663620225-1.47939438941062i,-0.829423127240447+0i,1.64299133337167,NO
143,K12,-0.691064763819095,-0.206832763819095,42.713567839196,0.71717364344772+1.49430512955675i,0.71717364344772-1.49430512955675i,-0.834347086895438+0i,1.65749384767356,NO
144,K12,-0.695931417085427,-0.211699417085427,43.7185929648241,0.719581230691459+1.50902441068396i,0.719581230691459-1.50902441068396i,-0.839162261382914+0i,1.67181094014948,NO
145,K12,-0.700798070351759,-0.216566070351759,44.7236180904523,0.721936634480028+1.52355927873788i,0.721936634480028-1.52355927873788i,-0.843873068960053+0i,1.68594940019938,NO
146,K12,-0.70566472361809,-0.22143272361809,45.7286432160804,0.724241930405627+1.53791636567445i,0.724241930405627-1.53791636567445i,-0.84848366081125+0i,1.69991562189627,NO
147,K12,-0.710531376884422,-0.226299376884422,46.7336683417085,0.726499071222481+1.55210192238413i,0.726499071222481-1.55210192238413i,-0.852997942444961+0i,1.71371563509109,NO
148,K12,-0.715398030150754,-0.231166030150754,47.7386934673367,0.728709896484139+1.5661218483453i,0.728709896484139-1.5661218483453i,-0.857419592968278+0i,1.72735513346226,NO
149,K12,-0.720264683417085,-0.236032683417085,48.7437185929648,0.730876141244229+1.57998171839366i,0.730876141244229-1.57998171839366i,-0.861752082488454+0i,1.7408394998673,NO
150,K12,-0.725131336683417,-0.240899336683417,49.748743718593,0.732999443928757+1.59368680694193i,0.732999443928757-1.59368680694193i,-0.865998687857513+0i,1.75417382930559,NO
151,K12,-0.729997989949749,-0.245765989949749,50.7537688442211,0.735081353473458+1.60724210993919i,0.735081353473458-1.60724210993919i,-0.870162506946913+0i,1.76736294976051,NO
152,K12,-0.73486464321608,-0.25063264321608,51.7587939698492,0.737123335807618+1.62065236482142i,0.737123335807618-1.62065236482142i,-0.874246471615228+0i,1.78041144115438,NO
