n,theta_rad,group_delay_samples
1,0.24150390286796036,0.8416015834878863
1,0.2420275555856783,0.8414990587952218
1,0.24255120830339622,0.8413963414527359
1,0.24307486102111414,0.8412934316386611
1,0.24359851373883204,0.8411903295314858
1,0.24412216645654997,0.841087035310295
1,0.2446458191742679,0.8409835491543163
1,0.2451694718919858,0.8408798712428052
1,0.24569312460970372,0.8407760017555006
1,0.24621677732742164,0.8406719408721415
1,0.24674043004513957,0.840567688773092
1,0.24726408276285747,0.8404632456390004
1,0.2477877354805754,0.8403586116500605
1,0.24831138819829332,0.8402537869875744
1,0.24883504091601122,0.8401487718325029
1,0.24935869363372914,0.8400435663662051
1,0.24988234635144707,0.8399381707706937
1,0.250405999069165,0.83983258522764
1,0.2509296517868829,0.8397268099193695
1,0.2514533045046008,0.8396208450280085
1,0.2519769572223187,0.8395146907364506
1,0.25250060994003665,0.8394083472276748
1,0.2530242626577546,0.83930181468466
1,0.2535479153754725,0.8391950932908685
1,0.2540715680931904,0.8390881832299613
1,0.25459522081090835,0.8389810846857984
1,0.2551188735286263,0.8388737978424388
1,0.25564252624634415,0.8387663228843394
1,0.2561661789640621,0.8386586599960708
1,0.25668983168178,0.838550809362431
1,0.2572134843994979,0.8384427711685021
1,0.25773713711721585,0.8383345455996221
1,0.2582607898349338,0.8382261328413847
1,0.2587844425526517,0.8381175330796395
1,0.2593080952703696,0.8380087465001793
1,0.2598317479880875,0.8378997732892515
1,0.26035540070580543,0.8377906136337572
1,0.26087905342352335,0.8376812677201428
1,0.2614027061412413,0.8375717357351959
1,0.2619263588589592,0.8374620178663577
1,0.26245001157667713,0.8373521143010692
1,0.262973664294395,0.8372420252267716
1,0.26349731701211293,0.8371317508314462
1,0.26402096972983086,0.8370212913032731
1,0.2645446224475488,0.8369106468304892
1,0.2650682751652667,0.8367998176017011
1,0.26559192788298464,0.8366888038056857
1,0.26611558060070256,0.8365776056315042
1,0.26663923331842043,0.8364662232682747
1,0.26716288603613836,0.8363546569054847
1,0.2676865387538563,0.8362429067330197
1,0.2682101914715742,0.8361309729405377
1,0.26873384418929214,0.8360188557182084
1,0.26925749690701006,0.8359065552566278
1,0.269781149624728,0.8357940717461076
1,0.27030480234244586,0.835681405377386
1,0.2708284550601638,0.8355685563416557
1,0.2713521077778817,0.8354555248302233
1,0.27187576049559964,0.835342311034367
1,0.27239941321331756,0.8352289151456489
