omega,uncompensated_dB,compensated_2nd_dB
-9.383306864187166,-1.3844850599550367,-78.25579931311242
-9.382364339264841,-1.3832379202268033,-77.8640442106685
-9.381421814342518,-1.3819627865608028,-77.48083931651915
-9.380479289420196,-1.3806596610390833,-77.10581552346235
-9.379536764497873,-1.3793285457862128,-76.7386270400646
-9.37859423957555,-1.3779694429690703,-76.37894946735068
-9.377651714653227,-1.3765823547966314,-76.0264780698173
-9.376709189730903,-1.3751672835197337,-75.68092621767157
-9.37576666480858,-1.3737242314308946,-75.34202398033489
-9.374824139886258,-1.3722532008640287,-75.00951685391959
-9.373881614963935,-1.3707541941942551,-74.68316460766334
-9.372939090041612,-1.3692272138376547,-74.36274023621196
-9.371996565119288,-1.367672262251012,-74.04802900630308
-9.371054040196965,-1.3660893419316,-73.73882758783016
-9.370111515274642,-1.364478455416899,-73.43494326048113
-9.36916899035232,-1.362839605284363,-73.13619318818847
-9.368226465429997,-1.3611727941511549,-72.84240375456915
-9.367283940507672,-1.3594780246738882,-72.55340995328476
-9.36634141558535,-1.3577552995483586,-72.26905482798016
-9.365398890663027,-1.3560046215092723,-71.98918895702697
-9.364456365740704,-1.3542259933299625,-71.71366997884962
-9.363513840818381,-1.3524194178221374,-71.44236215404652
-9.362571315896059,-1.350584897835567,-71.17513596094643
-9.361628790973734,-1.348722436257804,-70.91186772157289
-9.360686266051411,-1.3468320360139026,-70.6524392553237
-9.359743741129089,-1.3449137000661104,-70.39673755792441
-9.358801216206766,-1.3429674314135758,-70.14465450348962
-9.357858691284443,-1.3409932330920364,-69.8960865677098
-9.356916166362119,-1.3389911081735102,-69.65093457040226
-9.355973641439796,-1.3369610597659995,-69.40910343581726
-9.355031116517473,-1.3349030910131454,-69.17050196925015
-9.35408859159515,-1.332817205093935,-68.93504264865038
-9.353146066672828,-1.3307034052223514,-68.70264143002802
-9.352203541750503,-1.3285616946470635,-68.47321756558517
-9.35126101682818,-1.3263920766510793,-68.24669343357822
-9.350318491905858,-1.3241945545514267,-68.02299437901864
-9.349375966983535,-1.3219691316987796,-67.80204856439319
-9.348433442061213,-1.3197158114771494,-67.5837868296575
-9.347490917138888,-1.3174345973034995,-67.36814256082013
-9.346548392216565,-1.315125492627427,-67.15505156648962
-9.345605867294243,-1.3127885009307783,-66.9444519618173
-9.34466334237192,-1.3104236257272976,-66.7362840593046
-9.343720817449597,-1.3080308705622534,-66.53049026599973
-9.342778292527274,-1.3056102390120747,-66.32701498663492
-9.34183576760495,-1.303161734683984,-66.1258045322997
-9.340893242682627,-1.3006853612156153,-65.9268070342747
-9.339950717760304,-1.2981811222746154,-65.72997236267747
-9.339008192837982,-1.2956490215582788,-65.53525204960602
-9.338065667915659,-1.2930890627931504,-65.34259921648093
-9.337123142993335,-1.290501249734627,-65.15196850531389
-9.336180618071012,-1.2878855861665777,-64.96331601365634
-9.33523809314869,-1.2852420759009178,-64.77659923298374
-9.334295568226366,-1.2825707227772207,-64.59177699031152
-9.333353043304044,-1.2798715306622999,-64.4088093928332
-9.33241051838172,-1.277144503449795,-64.22765777539843
-9.331467993459396,-1.2743896450597723,-64.04828465065887
-9.330525468537074,-1.2716069594382828,-63.8706536617157
-9.329582943614751,-1.2687964505569438,-63.69472953712632
-9.328640418692428,-1.2659581224125112,-63.52047804812722
-9.327697893770106,-1.2630919790264592,-63.34786596794209
-9.326755368847781,-1.2601980244445121,-63.17686103305622
-9.325812843925458,-1.257276262736263,-63.00743190634588
-9.324870319003136,-1.2543266979946532,-62.83954814195173
-9.323927794080813,-1.251349334335592,-62.673180151804445
-9.32298526915849,-1.2483441758974647,-62.508299173705396
-9.322042744236166,-1.245311226840702,-62.344877240879335
-9.321100219313843,-1.2422504913473078,-62.18288715291809
-9.32015769439152,-1.2391619736204063,-62.02230244803599
-9.319215169469198,-1.2360456778837732,-61.863097376573535
-9.318272644546875,-1.232901608381355,-61.70524687567547
-9.31733011962455,-1.2297297693768112,-61.54872654508602
-9.316387594702228,-1.2265301651530511,-61.39351262400146
-9.315445069779905,-1.22330280001171,-61.23958196892304
-9.314502544857582,-1.220047678272703,-61.086912032461385
-9.31356001993526,-1.2167648042737313,-60.93548084304369
-9.312617495012937,-1.213454182369778,-60.78526698547573
-9.311674970090612,-1.2101158169326172,-60.636249582318115
-9.31073244516829,-1.2067497123503486,-60.48840827603546
-9.309789920245967,-1.2033558730268454,-60.34172321187831
-9.308847395323644,-1.1999343033812735,-60.19617502146639
-9.307904870401321,-1.1964850078475984,-60.051744807034936
-9.306962345478997,-1.1930079908740334,-59.90841412631383
-9.306019820556674,-1.1895032569225836,-59.76616497801008
-9.305077295634351,-1.185970810468462,-59.624979787862316
-9.304134770712029,-1.1824106559996173,-59.484841395243805
-9.303192245789706,-1.1788227980161772,-59.34573304028638
-9.302249720867382,-1.1752072410299323,-59.20763835150066
-9.301307195945059,-1.1715639895638268,-59.07054133387228
-9.300364671022736,-1.1678930481513659,-58.934426357408434
-9.299422146100413,-1.1641944213361364,-58.79927814611861
-9.29847962117809,-1.160468113671223,-58.66508176740719
-9.297537096255766,-1.1567141297186845,-58.53182262185974
-9.296594571333443,-1.152932474049007,-58.39948643340839
-9.29565204641112,-1.1491231512405362,-58.268059239854246
-9.294709521488798,-1.1452861658789288,-58.13752738373702
-9.293766996566475,-1.1414215225565927,-58.00787750353309
-9.292824471644153,-1.1375292258721368,-57.8790965251694
-9.291881946721828,-1.1336092804297802,-57.75117165383883
-9.290939421799505,-1.1296616908388284,-57.62409036610629
-9.289996896877183,-1.12568646171305,-57.4978404022891
-9.28905437195486,-1.1216835976701285,-57.372409759105174
-9.288111847032537,-1.117653103331095,-57.24778668257497
-9.287169322110213,-1.1135949833197059,-57.123959661166495
-9.28622679718789,-1.1095092422619226,-57.00091741917596
-9.285284272265567,-1.1053958847852736,-56.87864891033068
-9.284341747343245,-1.10125491551827,-56.757143311608864
-9.283399222420922,-1.0970863390898296,-56.63639001726562
-9.282456697498597,-1.0928901601286576,-56.5163786330574
-9.281514172576275,-1.0886663832627033,-56.39709897065767
-9.280571647653952,-1.084415013118474,-56.278541042253735
-9.27962912273163,-1.0801360543204808,-56.16069505532213
-9.278686597809306,-1.0758295114906273,-56.043551407571044
-9.277744072886984,-1.0714953892475894,-55.92710068204664
-9.27680154796466,-1.0671336922061991,-55.811333642394445
-9.275859023042337,-1.0627444249768399,-55.69624122827318
-9.274916498120014,-1.058327592164801,-55.581814550910444
-9.273973973197691,-1.0538831983696806,-55.468044888800065
-9.273031448275368,-1.049411248184748,-55.35492368353252
-9.272088923353044,-1.0449117461963011,-55.24244253575419
-9.271146398430721,-1.040384696983073,-55.13059320125197
-9.270203873508398,-1.0358301051155505,-55.01936758715591
-9.269261348586076,-1.0312479751553707,-54.90875774825902
-9.268318823663753,-1.0266383116546458,-54.79875588344684
-9.267376298741429,-1.0220011191553573,-54.689354332235084
-9.266433773819106,-1.0173364021887055,-54.58054557141095
-9.265491248896783,-1.0126441652744207,-54.47232221177216
-9.26454872397446,-1.0079244129201423,-54.36467699496453
-9.263606199052138,-1.0031771496207733,-54.25760279041076
-9.262663674129813,-0.9984023798577903,-54.151092592329285
-9.26172114920749,-0.9936001080986222,-54.04513951683981
-9.260778624285168,-0.9887703387959546,-53.93973679915113
-9.259836099362845,-0.9839130763870665,-53.83487779083061
