n,theta_c_deg,guard_band_deg,resonance_cost_dB
3,70.0,16.255452337551414,-23.618946977479833
3,70.5,16.107404038810305,-23.378417279908277
3,71.0,15.96111946461339,-23.13869094100269
3,71.5,15.816562280950356,-22.89974812649467
3,72.0,15.673697114893116,-22.661569468986063
3,72.5,15.53248952309038,-22.42413606394292
3,73.0,15.3929059614803,-22.187429466441454
3,73.5,15.254913756166957,-21.951431688671942
3,74.0,15.11848107540945,-21.716125198208303
3,74.5,14.983576902674498,-21.481492917053014
3,75.0,14.850171010706644,-21.24751822146831
3,75.5,14.718233936571256,-21.014184942607102
3,76.0,14.587736957628795,-20.781477367957983
3,76.5,14.458652068400555,-20.549380243621158
3,77.0,14.330951958287049,-20.31787877743348
3,77.5,14.204609990103886,-20.08695864296267
3,78.00000000000001,14.07960017939986,-19.856605984392534
3,78.5,13.955897174524777,-19.626807422322937
3,79.00000000000001,13.833476237415846,-19.397550060509616
3,79.5,13.712313225072458,-19.16882149357123
3,80.0,13.592384571691198,-18.9406098156922
