K,theta_rad,S_mag_dB
0.05,0.01901746492746462,-5.131808275577631
0.05,0.01917455141446846,-5.083281787737213
0.05,0.0193316379014723,-5.0354050015658105
0.05,0.01948872438847614,-4.98816679015788
0.05,0.01964581087547998,-4.9415562722151005
0.05,0.01980289736248382,-4.895562804847589
0.05,0.019959983849487658,-4.850175976652128
0.05,0.0201170703364915,-4.805385601054334
0.05,0.02027415682349534,-4.7611817099024565
0.05,0.020431243310499177,-4.717554547300881
0.05,0.020588329797503017,-4.67449456367225
0.05,0.020745416284506858,-4.631992410037565
0.05,0.0209025027715107,-4.590038932504583
0.05,0.021059589258514536,-4.548625166954681
0.05,0.021216675745518377,-4.507742333919497
0.05,0.021373762232522218,-4.467381833638985
0.05,0.02153084871952606,-4.427535241292587
0.05,0.021687935206529896,-4.3881943023959815
0.05,0.021845021693533737,-4.349350928356466
0.05,0.022002108180537577,-4.310997192179761
0.05,0.022159194667541418,-4.273125324321997
0.05,0.022316281154545255,-4.23572770868055
0.05,0.022473367641549096,-4.198796878718078
0.05,0.022630454128552937,-4.162325513713857
0.05,0.022787540615556774,-4.126306435137628
0.05,0.022944627102560615,-4.09073260314032
0.05,0.023101713589564456,-4.0555971131574005
0.05,0.023258800076568296,-4.020893192619997
0.05,0.023415886563572134,-3.986614197769529
0.05,0.023572973050575975,-3.9527536105717296
0.05,0.023730059537579815,-3.9193050357262798
0.05,0.023887146024583656,-3.886262197767869
0.05,0.024044232511587493,-3.8536189382557895
0.05,0.024201318998591334,-3.821369213048013
0.05,0.024358405485595175,-3.789507089656843
0.05,0.024515491972599016,-3.7580267446830757
0.05,0.024672578459602853,-3.72692246132553
0.05,0.024829664946606694,-3.6961886269633193
0.05,0.024986751433610534,-3.665819730807952
0.05,0.025143837920614375,-3.635810361623013
0.05,0.025300924407618212,-3.6061552055085544
0.05,0.025458010894622053,-3.5768490437482447
0.05,0.025615097381625894,-3.547886750716765
0.05,0.02577218386862973,-3.5192632918453675
0.05,0.025929270355633572,-3.4909737216437224
0.05,0.026086356842637413,-3.4630131817757377
0.05,0.026243443329641254,-3.435376899187768
0.05,0.02640052981664509,-3.4080601842873564
0.05,0.02655761630364893,-3.381058429170578
0.05,0.026714702790652772,-3.354367105896672
0.05,0.026871789277656613,-3.3279817648080194
0.05,0.02702887576466045,-3.3018980328942646
0.05,0.02718596225166429,-3.276111612198818
0.05,0.027343048738668132,-3.2506182782667614
0.05,0.027500135225671973,-3.2254138786322
0.05,0.02765722171267581,-3.200494331344386
0.05,0.02781430819967965,-3.1758556235310764
0.05,0.02797139468668349,-3.151493809997848
0.05,0.02812848117368733,-3.1274050118625585
0.05,0.02828556766069117,-3.1035854152234537
0.05,0.02844265414769501,-3.0800312698602306
0.05,0.02859974063469885,-3.0567388879667563
0.05,0.02875682712170269,-3.0337046429146937
0.05,0.02891391360870653,-3.0109249680469503
0.05,0.02907100009571037,-2.98839635550008
0.05,0.02922808658271421,-2.966115355054753
0.05,0.029385173069718048,-2.9440785730136865
0.05,0.02954225955672189,-2.922282671105666
0.05,0.02969934604372573,-2.9007243654156274
0.05,0.02985643253072957,-2.879400425339404
0.05,0.030013519017733407,-2.85830767256281
0.05,0.030170605504737248,-2.8374429800642256
0.05,0.03032769199174109,-2.816803271139951
0.05,0.030484778478744926,-2.7963855184519253
0.05,0.030641864965748767,-2.7761867430967904
0.05,0.030798951452752608,-2.756204013696112
0.05,0.03095603793975645,-2.7364344455069567
0.05,0.031113124426760286,-2.716875199552251
0.05,0.031270210913764133,-2.6975234817704012
0.05,0.03142729740076797,-2.6783765421838277
0.05,0.03158438388777181,-2.6594316740855275
0.05,0.03174147037477565,-2.6406862132436815
0.05,0.03189855686177949,-2.6221375371232702
0.05,0.03205564334878333,-2.603783064124821
0.05,0.03221272983578717,-2.585620252839194
0.05,0.03236981632279101,-2.567646601318747
0.05,0.03252690280979485,-2.5498596463636947
0.05,0.032683989296798686,-2.5322569628238796
0.05,0.03284107578380253,-2.5148361629150813
0.05,0.03299816227080637,-2.497594895549943
0.05,0.03315524875781021,-2.4805308456827193
0.05,0.03331233524481405,-2.4636417336678216
0.05,0.03346942173181789,-2.4469253146316534
0.05,0.03362650821882173,-2.430379377857428
0.05,0.033783594705825565,-2.4140017461826204
0.05,0.033940681192829406,-2.3977902754089615
0.05,0.034097767679833246,-2.381742853724236
0.05,0.03425485416683709,-2.365857401136059
0.05,0.03441194065384093,-2.350131868916972
0.05,0.03456902714084477,-2.3345642390609425
0.05,0.03472611362784861,-2.3191525237505606
0.05,0.03488320011485245,-2.303894764835145
0.05,0.035040286601856284,-2.288789033319088
0.05,0.035197373088860125,-2.273833428860499
0.05,0.035354459575863965,-2.259026079279767
0.05,0.035511546062867806,-2.2443651400777895
0.05,0.03566863254987165,-2.2298487939637095
0.05,0.03582571903687549,-2.2154752503919424
