alpha,K_lower_exact,K_upper_exact
-0.752378446115288,-1.123810776942356,0.0
-0.7448646616541352,-1.1275676691729324,0.0
-0.7373508771929824,-1.1313245614035088,0.0
-0.7298370927318296,-1.1350814536340852,0.0
-0.7223233082706764,-1.1388383458646618,0.0
-0.7148095238095236,-1.1425952380952382,0.0
-0.7072957393483708,-1.1463521303258146,0.0
-0.699781954887218,-1.150109022556391,0.0
-0.6922681704260651,-1.1538659147869674,0.0
-0.6847543859649119,-1.157622807017544,0.0
-0.6772406015037591,-1.1613796992481205,0.0
-0.6697268170426063,-1.1651365914786969,0.0
-0.6622130325814535,-1.1688934837092733,0.0
-0.6546992481203007,-1.1726503759398497,0.0
-0.6471854636591479,-1.176407268170426,0.0
-0.6396716791979946,-1.1801641604010027,0.0
-0.6321578947368418,-1.183921052631579,0.0
-0.624644110275689,-1.1876779448621555,0.0
-0.6171303258145362,-1.191434837092732,0.0
-0.6096165413533834,-1.1951917293233083,0.0
-0.6021027568922306,-1.1989486215538847,0.0
-0.5945889724310773,-1.2027055137844613,0.0
-0.5870751879699245,-1.2064624060150377,0.0
-0.5795614035087717,-1.2102192982456141,0.0
-0.5720476190476189,-1.2139761904761905,0.0
-0.5645338345864661,-1.217733082706767,0.0
-0.5570200501253133,-1.2214899749373433,0.0
-0.54950626566416,-1.22524686716792,0.0
-0.5419924812030072,-1.2290037593984964,0.0
-0.5344786967418544,-1.2327606516290728,0.0
-0.5269649122807016,-1.2365175438596492,0.0
-0.5194511278195488,-1.2402744360902256,0.0
-0.5119373433583956,-1.2440313283208022,0.0
-0.5044235588972428,-1.2477882205513786,0.0
-0.49690977443608997,-1.251545112781955,0.0
-0.48939598997493716,-1.2553020050125314,0.0
-0.48188220551378436,-1.2590588972431078,0.0
-0.47436842105263155,-1.2628157894736842,0.0
-0.4668546365914783,-1.2665726817042608,0.0
-0.4593408521303255,-1.2703295739348373,0.0
-0.4518270676691727,-1.2740864661654137,0.0
-0.4443132832080199,-1.27784335839599,0.0
-0.4367994987468671,-1.2816002506265665,0.0
-0.42928571428571427,-1.2853571428571429,0.0
-0.421771929824561,-1.2891140350877195,0.0
-0.4142581453634082,-1.292870927318296,0.0
-0.4067443609022554,-1.2966278195488723,0.0
-0.3992305764411026,-1.3003847117794487,0.0
-0.3917167919799498,-1.304141604010025,0.0
-0.384203007518797,-1.3078984962406015,0.0
-0.37668922305764374,-1.3116553884711781,0.0
-0.36917543859649093,-1.3154122807017545,0.0
-0.36166165413533813,-1.319169172932331,0.0
-0.3541478696741853,-1.3229260651629073,0.0
-0.3466340852130325,-1.3266829573934837,0.0
-0.33912030075187927,-1.3304398496240604,0.0
-0.33160651629072646,-1.3341967418546368,0.0
-0.32409273182957365,-1.3379536340852132,0.0
-0.31657894736842085,-1.3417105263157896,0.0
-0.30906516290726804,-1.345467418546366,0.0
-0.30155137844611524,-1.3492243107769424,0.0
-0.294037593984962,-1.352981203007519,0.0
-0.2865238095238092,-1.3567380952380954,0.0
-0.2790100250626564,-1.3604949874686718,0.0
-0.27149624060150357,-1.3642518796992482,0.0
-0.26398245614035076,-1.3680087719298246,0.0
-0.25646867167919796,-1.371765664160401,0.0
-0.2489548872180447,-1.3755225563909776,0.0
-0.2414411027568919,-1.379279448621554,0.0
-0.2339273182957391,-1.3830363408521305,0.0
-0.2264135338345863,-1.3867932330827069,0.0
-0.21889974937343348,-1.3905501253132833,0.0
-0.21138596491228068,-1.3943070175438597,0.0
-0.20387218045112743,-1.3980639097744363,0.0
-0.19635839598997462,-1.4018208020050127,0.0
-0.18884461152882182,-1.405577694235589,0.0
-0.181330827067669,-1.4093345864661655,0.0
-0.1738170426065162,-1.413091478696742,0.0
