omega,uncompensated_dB,compensated_2nd_dB,filter1_dB,filter2_dB,compensated_1st_dB
-9.229675301848507,-0.8139898084585396,-50.73190397551173,-24.97277694440143,-49.91791416705319,-25.78676675285997
-9.228732776926185,-0.8082276216980406,-50.64188698474256,-24.930783816709802,-49.83365936304452,-25.739011438407843
-9.22779025200386,-0.8024380786080122,-50.55224157782463,-24.88899081444828,-49.74980349921662,-25.691428893056294
-9.226847727081536,-0.7966211826469378,-50.4629639247206,-24.84739602098744,-49.6663427420735,-25.644017203634377
-9.225905202159217,-0.7907769372321687,-50.37405024998221,-24.80599754701386,-49.58327331275021,-25.59677448424603
-9.224962677236892,-0.7849053457392295,-50.28549683171682,-24.76479353001264,-49.50059148597759,-25.54969887575187
-9.22402015231457,-0.7790064115010104,-50.1973000005776,-24.723782133764463,-49.4182935890766,-25.502788545265474
-9.223077627392248,-0.7730801378070463,-50.10945613877752,-24.682961547851804,-49.3363760009706,-25.45604168565885
-9.222135102469922,-0.7671265279027026,-50.02196167912604,-24.642329987177803,-49.25483515122334,-25.409456515080507
-9.2211925775476,-0.7611455849884834,-49.934813104089,-24.601885691497284,-49.17366751910051,-25.363031276485767
-9.220250052625277,-0.7551373122191565,-49.84800694486854,-24.561626924956318,-49.09286963264938,-25.316764237175473
-9.219307527702954,-0.7491017127030654,-49.76153978050601,-24.521551975644424,-49.01243806780295,-25.27065368834749
-9.218365002780631,-0.7430387895013163,-49.675408237004106,-24.48165915515599,-48.932369447502786,-25.224697944657308
-9.217422477858308,-0.7369485456269947,-49.58960898646951,-24.441946798162014,-48.85266044084267,-25.17889534378901
-9.216479952935984,-0.7308309840444336,-49.50413874627528,-24.402413261991363,-48.773307762230836,-25.133244246035797
-9.21553742801366,-0.7246861076683742,-49.418994278240966,-24.36305692622183,-48.6943081705724,-25.087743033890206
-9.21459490309134,-0.7185139193632044,-49.33417238783227,-24.323876192280167,-48.61565846846918,-25.04239011164337
-9.213652378169016,-0.7123144219421708,-49.24966992337828,-24.28486948305022,-48.5373555014361,-24.99718390499239
-9.212709853246691,-0.7060876181665898,-49.1654837753057,-24.246035242491935,-48.4593961571391,-24.952122860658523
-9.211767328324369,-0.6998335107450917,-49.08161087539118,-24.207371935266732,-48.38177736464609,-24.907205446011822
-9.210824803402046,-0.6935521023327608,-48.99804819602811,-24.16887804637188,-48.30449609369535,-24.86243014870464
-9.209882278479723,-0.6872433955303753,-48.91479274951163,-24.13055208078317,-48.22754935398127,-24.817795476313545
-9.2089397535574,-0.680907392883623,-48.83184158733803,-24.092392563105104,-48.15093419445441,-24.773299955988726
-9.207997228635078,-0.6745440968822725,-48.74919179951981,-24.0543980372288,-48.074647702637535,-24.728942134111072
-9.207054703712751,-0.6681535099593837,-48.66684051391534,-24.016567065997133,-47.998687003955816,-24.68472057595652
-9.20611217879043,-0.66173563449054,-48.58478489557359,-23.978898230877927,-47.92304926108305,-24.640633865368468
-9.205169653868108,-0.6552904727929647,-48.5030221460918,-23.941390131642386,-47.84773167329884,-24.59668060443535
-9.204227128945783,-0.6488180271247744,-48.42154950298802,-23.904041386052466,-47.772731475863104,-24.55285941317724
-9.203284604023462,-0.6423182996841428,-48.34036423908637,-23.866850629553916,-47.69804593940223,-24.509168929238058
-9.202342079101138,-0.635791292608484,-48.25946366191545,-23.829816514975228,-47.62367236930696,-24.465607807583712
-9.201399554178815,-0.6292370079736797,-48.17884511312001,-23.79293771223461,-47.549608105146326,-24.42217472020829
-9.200457029256492,-0.6226554477931951,-48.09850596788381,-23.75621290805139,-47.47585052009062,-24.378868355844585
-9.19951450433417,-0.6160466140173055,-48.0184436343655,-23.71964080566457,-47.40239702034819,-24.33568741968188
-9.198571979411849,-0.6094105085322575,-47.938655553146106,-23.683220124556968,-47.32924504461398,-24.292630633089225
-9.197629454489524,-0.6027471331594396,-47.859139196687615,-23.64694960018464,-47.256392063528274,-24.24969673334408
